Barcode,Main language,Product name,Quantity,Brands,Categories,Labels,Origins of ingredients,Ingredients list,Allergens,Traces,Energy (kJ) for 100 g / 100 ml,Energy (kcal) for 100 g / 100 ml,Fat for 100 g / 100 ml,Saturated fat for 100 g / 100 ml,Carbohydrates for 100 g / 100 ml,Sugars for 100 g / 100 ml,Fiber for 100 g / 100 ml,Proteins for 100 g / 100 ml,Salt for 100 g / 100 ml,Fruits‚ vegetables‚ nuts and rapeseed‚ walnut and olive oils for 100 g / 100 ml,Fruits‚ vegetables and nuts - dried for 100 g / 100 ml,Recycling instructions and/or packaging information,Link to front product photo,Link to ingredients list photo,Link to nutrition facts table photo,Link to recycling instructions and/or packaging information photo,Type of the product photo,Abbreviated product name,Common name,Serving size,Packaging,Countries,Stores,Product taken off the market,Withdrawal date,Traceability codes,Recycling instructions - To recycle,Recycling instructions - To discard,Producer product identifier,Producer version identifier,Net weight,Drained weight,Volume,Brand owner,Periods after opening,Origin of the product and/or its ingredients,Manufacturing or processing places,Producer,Sodium for 100 g / 100 ml,Alcohol for 100 g / 100 ml,Packaging 1 - Number of units,Packaging 1 - Shape,Packaging 1 - Material,Packaging 1 - Recycling,Packaging 1 - Weight of one empty unit,Packaging 1 - Quantity of product contained per unit,Packaging 2 - Number of units,Packaging 2 - Shape,Packaging 2 - Material,Packaging 2 - Recycling,Packaging 2 - Weight of one empty unit,Packaging 2 - Quantity of product contained per unit,Packaging 3 - Number of units,Packaging 3 - Shape,Packaging 3 - Material,Packaging 3 - Recycling,Packaging 3 - Weight of one empty unit,Packaging 3 - Quantity of product contained per unit,Packaging 4 - Number of units,Packaging 4 - Shape,Packaging 4 - Material,Packaging 4 - Recycling,Packaging 4 - Weight of one empty unit,Packaging 4 - Quantity of product contained per unit,Packaging 5 - Number of units,Packaging 5 - Shape,Packaging 5 - Material,Packaging 5 - Recycling,Packaging 5 - Weight of one empty unit,Packaging 5 - Quantity of product contained per unit,Conservation conditions,Warning,Preparation,Nutri-Score score,Nutri-Score,NOVA group,Recipe idea,Customer service,Link to the product page on the official site of the producer,Link to other product photo
629014014331,English,Ornament Cookies,1 DECORATED COOKIE,,29,,,"Cookie: Bleached Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Ascorbic Acid Added As A Dough Conditioner, Thiamine Mononitrate, Riboflavin, Enzyme, Folic Acid), Sugar, Vegetable Oil Shortening (Canola Oil, Fractionated Palm Oil, Fractionated Palm Kernel Oil), Water, Invert Sugar, Eggs, Nonfat Dry Milk, Leavening (Sodium Bicarbonate), Natural And Artificial Flavor, Salt. Icings: Sugar, Water, Palm Oil, Cornstarch, High Fructose Corn Syrup, Corn Syrup, Modified Cornstarch, Salt, Acetylated Monoglycerides (Emulsifier), Color (Fd&C Red #40, Fd&C Blue #1, Fd&C Yellow #5, Titanium Dioxide, Fd&C Yellow #6), Artificial Flavor, Polysorbate 60, Potassium Sorbate (Preservative), Citric Acid. Candy Sequins: Icing Sugar (Sugar, Cornstarch), Palm Kernel Oil, Modified Cornstarch, Cornstarch, Sunflower Lecithin, Shellac, Color (Fd&C Yellow #5, Fd&C Yellow #6, Fd&C Red #3, Fd&C Red #40, Fd&C Blue #1), Polysorbate 60. Mini Beads: Dextrose, Corn Syrup, Citric Acid, Calcium Stearate, Tapioca Dextrin, Color (Titanium Dioxide, Fd&C Red #3, Fd&C Red #40, Fd&C Yellow #5, Fd&C Yellow #6, Fd&C Blue #1), Shellac, Carnauba Wax, Artificial Flavor. Mini Jellies: Corn Syrup, Sugar, Cornstarch, Water, Natural And Artificial Flavor, Citric Acid, Sodium Citrate, Color (Titanium Dioxide, Fd&C Yellow #5, Fd&C Yellow #6, Fd&C Red #40, Fd&C Blue #1, Fd&C Blue #2).",,,1695.654,405.0,11.9,3.57,69.0,38.1,,4.76,0.475,,,,,,,,,,,g,,,,,,,,,,,,,,Not A Branded Item,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42222831744,English,"Oven Roasted Turkey Breast, Oven Roasted",2 ONZ,,29,,,"Turkey Breast Meat, Turkey Broth, Contains 2% Or Less Vinegar, Dextrose, Salt, Potassium Chloride, Sodium Phosphate.",,,372.6252,89.0,0.89,0.0,0.0,0.0,,19.6,1.16,,,,,,,,,,,g,,,,,,,,,,,,,,Not A Branded Item,,,,,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3556420605839,English,"Authentic French Macarons, Vanilla, Peach Apricot, Coconut, White Chocolate, Raspberry Lemon, Chocolate Orange , Morello Cherry Pistachio Flavor",3 MACARONS,,29,,,"Powdered Sugar (Sugar, Corn Starch), Almond Flour, Water, Cream (Cream, Carrageenan), Morello Cherry Filling (Morello Cherry Puree [Morello Cherry, Sugar], Sugar, Water, Pectin, Natural Flavor, Citric Acid), Raspberry Filling (Raspberry, Sugar, Glucose-Fructose Syrup, Raspberry Puree, Pectin, Citric Acid), Egg Whites Powder, Dark Chocolate (Cocoa Mass, Sugar, Soy Lecithin, Natural Vanilla Flavor), Butter, White Chocolate (Sugar, Cocoa Mass, Whole Milk Powder, Soy Lecithin, Natural Vanilla), Potato Starch, Coconut Grated, Cocoa, Coconut Paste Blend (Natural Flavors, Water, Saccharose, Maltodextrin, Milk Caseins, Xanthan Gum), Lemon Zest, Natural Vanilla Flavor, Natural Pistachio Flavor, Natural Orange Flavor, Turmeric Color, Cochineal Extract Color, Spirulina Extract Color, Beet Powder Color, Beta-Carotene Color, Chlorella, Wheat Flour.",,,1858.9392,444.0,8.33,2.78,66.7,50.0,,11.1,0.14,,,,,,,,,,,g,,,,,,,,,,,,,,Not A Branded Item,,,,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366320710198,English,"Peanut Butter And Raspberry Oat Milk Non-Dairy Frozen Dessert, Peanut Butter And Raspberry",2/3 cup,,29,,,"Oatmilk (Filtered Water, Whole Oat Flour), Organic Cane Sugar, Organic Coconut Oil, Organic Tapioca Syrup, Peanuts, Peanut Oil, Black Raspberries, Sugar, Pea Protein, Rice Starch, Natural Flavor, Salt, Black Currant Juice Concentrate, Guar Gum, Locust Bean Gum, Citric Acid.",,,925.2828,221.0,12.4,7.96,26.6,17.7,,2.65,0.1775,,,,,,,,,,,g,,,,,,,,,,,,,,So Delicious Dairy Free,,,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6923917200056,English,Mixed Fruit With Cherries In Light Syrup,1 cup,,29,,,"Fruits (Peach, Pear, Pineapple, Cherry [Red#3 Color]), Water, Sugar, Citric Acid, Ascorbic Acid.",,,259.5816,62.0,0.0,0.0,15.0,13.3,,0.0,0.0,,,,,,,,,,,g,,,,,,,,,,,,,,Clover Valley,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20741556,English,"Classic Butter Microwave Popcorn, Classic Butter",2 Tbsp,,29,,,"Popcorn, Palm Oil. Contains 2% Or Less Of Each Of The Following: Salt, Potassium Chloride, Natural Flavor, Annatto Extract (Color), Tbhq (Preservative).",,,2030.598,485.0,30.3,15.2,51.5,0.0,,6.06,1.515,,,,,,,,,,,g,,,,,,,,,,,,,,Not A Branded Item,,,,,0.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20740771,English,"Balsamic Vinaigrette Dressing, Balsamic Vinaigrette",2 Tbsp,,29,,,"Water, Balsamic Vinegar (Contains Sulfites), Soybean Oil, Sugar, Salt, Extra Virgin Olive Oil, Contains Less Than 1% Of Spice, Caramel Color, Xanthan Gum, Potassium Sorbate And Sodium Benzoate (As Preservatives), Calcium Disodium Edta To Protect Flavor, Citric Acid, Natural Flavor, Annatto Extract (For Color).",,,837.36,200.0,16.7,3.33,16.7,13.3,,0.0,2.3325,,,,,,,,,,,ml,,,,,,,,,,,,,,Not A Branded Item,,,,,0.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20733667,English,Essential Chunk Light Tuna In Oil,2 ONZ,,29,,,"Tuna, Soybean Oil, Water, Vegetable Broth, Salt.",,,820.6128,196.0,14.3,2.68,0.0,0.0,,19.6,0.8025,,,,,,,,,,,g,,,,,,,,,,,,,,Not A Branded Item,,,,,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20743062,English,Freeze Dried Apples,0.5 BAG,,29,,,"50% Granny Smith Apple, 50% Fuji Apple (Treated With Ascorbic Acid, Citric Acid & Sodium Chloride).",,,1486.3139999999999,355.0,0.0,0.0,87.1,67.7,,3.23,0.525,,,,,,,,,,,g,,,,,,,,,,,,,,Not A Branded Item,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20735401,English,No Calorie Sweetener,1 PACKET,,29,,,"Dextrose With Maltodextrin, Aspartame, Acesulfame Potassium.",,,0.0,0.0,0.0,,100.0,100.0,,0.0,0.0,,,,,,,,,,,g,,,,,,,,,,,,,,Not A Branded Item,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20734879,English,"Classic Lentil Soup, Classic",1 cup,,29,,,"Water, Lentils, Celery, Modified Food Starch, Tomato Paste, Spinach, Contains Less Than 1% Of: Salt, Soybean Oil, Sugar, Calcium Chloride (Firming Agent), Natural Flavor.",,,288.8892,69.0,0.61,0.0,11.8,0.82,,3.67,0.8275,,,,,,,,,,,g,,,,,,,,,,,,,,Not A Branded Item,,,,,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20734671,English,Pecan Shortbread Cookies,2 COOKIES,,29,,,"Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Canola And/Or Soybean And/Or Palm Oil, Sugar, Pecans. Contains 2% Or Less Of: Eggs, Salt, Baking Soda.",,,2223.1908,531.0,31.2,12.5,59.4,18.8,,6.25,1.015,,,,,,,,,,,g,,,,,,,,,,,,,,Not A Branded Item,,,,,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20742393,English,"Butter Pecan Ice Cream, Butter Pecan",1/2 cup,,29,,,"Skim Milk, Cream, Sugar, Corn Syrup, Pecan Pieces (Roasted In Cottonseed Oil, Butter, Salt), Contains 2% Or Less Of Mono- And Diglycerides, Guar Gum, Calcium Sulfate, Locust Bean Gum, Carrageenan, Natural Flavors, Caramel Color.",,,983.8979999999999,235.0,14.7,7.35,22.1,17.6,,2.94,0.295,,,,,,,,,,,g,,,,,,,,,,,,,,Not A Branded Item,,,,,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20741280,English,Macaroni & Cheese,1 cup,,29,,,"Cooked Macaroni (Semolina Wheat Flour [Enriched With Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Egg White), Whole Milk, Water, Pasteurized Process Cheese Spread (American Cheese [Milk, Cheese Culture, Salt, Enzymes], Water, Whey, Sodium Phosphate, Whey Protein Concentrate, Skim Milk, Salt, Milkfat, Artificial Color), Cheddar Club Cheese (Cheddar Cheese [Pasteurized Milk, Cheese Culture, Salt, Enzymes], Water, Salt, Annatto Color), Margarine (Liquid And Hydrogenated Soybean Oil, Water, Salt, Contains Less Than 2% Of Vegetable Mono And Diglycerides, Soy Lecithin, Citric Acid, Natural And Artificial Flavor, Vitamin A Palmitate Added), Modified Corn Starch, Salt, Potassium Sorbate And Sodium Benzoate To Protect Flavor, Annatto Color.",,,535.9104,128.0,5.6,2.4,13.6,2.0,,5.6,1.14,,,,,,,,,,,g,,,,,,,,,,,,,,Not A Branded Item,,,,,0.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20741945,English,"Sliced Banana Walnut Loaf Cake, Sliced Banana Walnut",1 SLICE,,29,,,"Cake Mix (Sugar, Bleached Enriched Flour [Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Modified Food Starch [Corn], Soybean Oil, Contains 2% Or Less Of The Following: Salt, Emulsifier [Propylene Glycol Esters Of Fatty Acids, Distilled Monoglycerides, Sodium Stearoyl Lactylate], Nonfat Dry Milk, Sodium Aluminium Phosphate, Sodium Bicarbonate, Natural And Artificial Flavor, Sodium Caseinate, Xanthan Gum, Egg White, Soy Flour), Eggs, Water, Soybean Oil, Banana Puree, Walnuts, Natural & Artificial Flavor, Caramel Color, Sorbic Acid (Preservative).",,,1674.72,400.0,20.0,3.33,44.4,26.7,,4.44,0.8325,,,,,,,,,,,g,,,,,,,,,,,,,,Not A Branded Item,,,,,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20805463,English,"White Choco Almond Frozen Dairy Dessert Bars, White Choco Almond",1 BAR,,29,,,"Skim Milk, Sugar, Whey Protein Concentrate, Coconut Fat, Cocoa Butter, Glucose Syrup, Almond Pieces, Milk Fat, Skim Milk Powder, Mono And Diglycerides Of Fatty Acids, Sunflower Lecithin, Polyglycerol Polyricinoleate, Natural Bourbon Vanilla Flavor, Locust Bean Gum, Guar Gum, Vegetable Juice (Color), Natural Vanilla Flavor, Ground Extracted Vanilla Beans.",,,1394.2043999999999,333.0,21.1,13.3,32.2,30.0,,4.44,0.235,,,,,,,,,,,g,,,,,,,,,,,,,,Not A Branded Item,,,,,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
